state.abb,name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17",Median Household Income,
US,United States,40951625.00,12.60,11582950.00,16.30,74755.00,
AL,Alabama,798469.00,16.20,237861.00,21.80,59703.00,
AL,Autauga County,6988.00,11.80,2151.00,15.70,70148.00,
AL,Baldwin County,30195.00,12.40,8093.00,16.10,71704.00,
AL,Barbour County,5860.00,26.70,1871.00,37.70,41151.00,
AL,Bibb County,3979.00,20.00,1084.00,25.50,54309.00,
AL,Blount County,8022.00,13.60,2105.00,15.80,60553.00,
AL,Bullock County,2670.00,31.50,825.00,39.00,35798.00,
AL,Butler County,4298.00,23.40,1360.00,33.00,41852.00,
AL,Calhoun County,20308.00,18.50,6257.00,26.20,52772.00,
AL,Chambers County,6962.00,21.00,2097.00,30.60,45563.00,
AL,Cherokee County,3862.00,15.50,1054.00,22.70,52613.00,
AL,Chilton County,7158.00,15.80,2349.00,22.10,61823.00,
AL,Choctaw County,2554.00,20.70,758.00,31.20,44458.00,
AL,Clarke County,5204.00,23.50,1587.00,33.00,44906.00,
AL,Clay County,2371.00,17.00,735.00,25.20,49599.00,
AL,Cleburne County,2370.00,15.70,746.00,21.70,49248.00,
AL,Coffee County,8492.00,15.70,2886.00,22.60,62429.00,
AL,Colbert County,9962.00,17.30,3223.00,26.80,54593.00,
AL,Conecuh County,3329.00,30.10,972.00,43.90,36106.00,
AL,Coosa County,1813.00,18.10,520.00,31.20,49485.00,
AL,Covington County,7071.00,19.20,2023.00,25.00,46958.00,
AL,Crenshaw County,2762.00,21.50,841.00,28.30,49161.00,
AL,Cullman County,14478.00,16.20,3610.00,18.30,61774.00,
AL,Dale County,9965.00,20.50,3433.00,30.30,50567.00,
AL,Dallas County,11945.00,32.90,3924.00,46.80,35258.00,
AL,DeKalb County,13248.00,18.70,3970.00,23.70,50037.00,
AL,Elmore County,9779.00,11.70,2837.00,15.00,71463.00,
AL,Escambia County,7224.00,20.90,2153.00,26.40,47792.00,
AL,Etowah County,17990.00,17.70,5485.00,25.30,55487.00,
AL,Fayette County,3092.00,19.50,926.00,27.50,49205.00,
AL,Franklin County,5804.00,18.50,1865.00,24.30,49611.00,
AL,Geneva County,4926.00,18.60,1468.00,25.40,51585.00,
AL,Greene County,2206.00,30.00,745.00,46.50,35449.00,
AL,Hale County,3294.00,22.90,1120.00,32.50,44702.00,
AL,Henry County,2754.00,15.80,796.00,22.60,56702.00,
AL,Houston County,18465.00,17.20,6377.00,26.60,56842.00,
AL,Jackson County,8434.00,16.10,2223.00,20.90,51965.00,
AL,Jefferson County,106000.00,16.40,31449.00,21.40,61996.00,
AL,Lamar County,2457.00,18.10,663.00,22.50,51523.00,
AL,Lauderdale County,12156.00,13.30,3401.00,18.80,59023.00,
AL,Lawrence County,5402.00,16.40,1587.00,22.40,55516.00,
AL,Lee County,26211.00,15.00,4783.00,13.00,59637.00,
AL,Limestone County,10669.00,9.90,3275.00,13.80,83159.00,
AL,Lowndes County,2814.00,29.40,971.00,46.10,42268.00,
AL,Macon County,5351.00,32.40,1400.00,46.50,36601.00,
AL,Madison County,44142.00,11.30,11726.00,13.90,80426.00,
AL,Marengo County,3603.00,19.50,1405.00,34.10,45587.00,
AL,Marion County,5004.00,17.60,1382.00,23.00,47742.00,
AL,Marshall County,16175.00,16.50,5425.00,21.80,53388.00,
AL,Mobile County,77450.00,19.20,25444.00,27.20,54315.00,
AL,Monroe County,3963.00,20.70,1276.00,31.90,47498.00,
AL,Montgomery County,39991.00,18.40,14312.00,27.20,56862.00,
AL,Morgan County,15935.00,13.10,4793.00,17.20,62260.00,
AL,Perry County,2714.00,35.90,1016.00,61.20,33585.00,
AL,Pickens County,4007.00,23.90,1046.00,30.30,45440.00,
AL,Pike County,8436.00,27.40,2283.00,36.80,45144.00,
AL,Randolph County,4435.00,20.30,1275.00,27.60,49433.00,
AL,Russell County,12882.00,22.30,4269.00,30.50,45074.00,
AL,St. Clair County,11548.00,12.60,3501.00,17.20,70361.00,
AL,Shelby County,15339.00,6.80,3939.00,7.80,98263.00,
AL,Sumter County,3377.00,31.10,959.00,42.70,35152.00,
AL,Talladega County,14318.00,18.30,4192.00,26.00,55186.00,
